,Ticker,Exchange,Price,EMA200,% from EMA,EMA50,Vol Declining,ADV (M)
1,LYB,US,60.07,60.28,-0.35,67.35,✓,5.4
2,BMY,US,54.0,54.15,-0.28,56.97,—,12.8
3,CF,US,102.93,103.12,-0.18,115.08,✓,2.8
4,PFE,US,25.21,25.19,0.06,26.0,—,37.8
5,COP,US,107.74,107.54,0.19,117.32,—,7.8
6,BCE.TO,TSX,32.73,32.58,0.46,33.31,—,5.6
7,CVX,US,173.63,172.09,0.89,185.83,✓,9.2
8,XOM,US,137.81,136.57,0.91,149.13,—,18.0
9,DOW,US,31.73,31.35,1.21,35.31,✓,12.4
10,VZ,US,45.37,44.64,1.63,46.98,—,25.3
11,CHD,US,95.63,94.05,1.68,95.8,—,2.1
12,TXT,US,89.47,87.91,1.78,91.52,—,1.4
13,DVN,US,42.12,41.29,2.01,45.55,—,15.8
14,H.TO,TSX,56.0,54.82,2.16,57.1,—,2.0
15,OXY,US,51.82,50.65,2.32,56.37,✓,10.5
16,AMGN,US,337.6,328.71,2.7,341.25,—,3.0
17,VTR,US,81.6,79.41,2.76,84.28,✓,3.9
18,NSC,US,300.08,291.61,2.9,307.68,✓,1.2
